Region;year;date;id;Abandono
Asturias, Principado de;2006.0;2019-11-04;Asturias2006.0;23.099
Balears, Illes;2006.0;2019-11-04;Balears2006.0;35.9625
Canarias;2006.0;2019-11-04;Canarias2006.0;34.8856
Cantabria (3);2006.0;2019-11-04;Cantabria2006.0;23.5413
Castilla y León;2006.0;2019-11-04;Castilla y León2006.0;23.6283
Castilla-La Mancha;2006.0;2019-11-04;Castilla - La Mancha2006.0;38.7568
Cataluña;2006.0;2019-11-04;Cataluña2006.0;28.4827
Comunitat Valenciana;2006.0;2019-11-04;Valencia2006.0;31.1313
Extremadura;2006.0;2019-11-04;Extremadura2006.0;35.7686
Galicia;2006.0;2019-11-04;Galicia2006.0;24.5353
Madrid, Comunidad de;2006.0;2019-11-04;Madrid2006.0;25.8382
Murcia, Región de;2006.0;2019-11-04;Murcia2006.0;38.5535
Navarra, Comunidad Foral de (3);2006.0;2019-11-04;Navarra2006.0;12.9828
País Vasco;2006.0;2019-11-04;País Vasco2006.0;14.585
Rioja, La (3);2006.0;2019-11-04;Rioja2006.0;26.5743
Ceuta (3);2006.0;2019-11-04;Ceuta2006.0;54.9
Melilla (3);2006.0;2019-11-04;Melilla2006.0;40.3
TOTAL;2007.0;2019-11-04;Nacional2007.0;30.8077
Andalucía;2007.0;2019-11-04;Andalucía2007.0;37.1171
Aragón;2007.0;2019-11-04;Aragón2007.0;25.5477
Asturias, Principado de;2007.0;2019-11-04;Asturias2007.0;23.0965
Balears, Illes;2007.0;2019-11-04;Balears2007.0;42.0756
Canarias;2007.0;2019-11-04;Canarias2007.0;36.4366
Cantabria (3);2007.0;2019-11-04;Cantabria2007.0;25.4907
Castilla y León;2007.0;2019-11-04;Castilla y León2007.0;23.6511
Castilla-La Mancha;2007.0;2019-11-04;Castilla - La Mancha2007.0;37.3403
Cataluña;2007.0;2019-11-04;Cataluña2007.0;31.2426
Comunitat Valenciana;2007.0;2019-11-04;Valencia2007.0;31.2177
Extremadura;2007.0;2019-11-04;Extremadura2007.0;34.4375
Galicia;2007.0;2019-11-04;Galicia2007.0;23.529
Madrid, Comunidad de;2007.0;2019-11-04;Madrid2007.0;25.8233
Murcia, Región de;2007.0;2019-11-04;Murcia2007.0;39.1991
Navarra, Comunidad Foral de (3);2007.0;2019-11-04;Navarra2007.0;16.262
País Vasco;2007.0;2019-11-04;País Vasco2007.0;14.3462
Rioja, La (3);2007.0;2019-11-04;Rioja2007.0;30.5989
Ceuta (3);2007.0;2019-11-04;Ceuta2007.0;49.1
Melilla (3);2007.0;2019-11-04;Melilla2007.0;46.8
TOTAL;2008.0;2019-11-04;Nacional2008.0;31.6993
Andalucía;2008.0;2019-11-04;Andalucía2008.0;37.9281
Aragón;2008.0;2019-11-04;Aragón2008.0;25.7774
Asturias, Principado de;2008.0;2019-11-04;Asturias2008.0;20.0332
Balears, Illes;2008.0;2019-11-04;Balears2008.0;42.4731
Canarias;2008.0;2019-11-04;Canarias2008.0;34.144
Cantabria (3);2008.0;2019-11-04;Cantabria2008.0;22.9196
Castilla y León;2008.0;2019-11-04;Castilla y León2008.0;26.3639
Castilla-La Mancha;2008.0;2019-11-04;Castilla - La Mancha2008.0;38.4099
Cataluña;2008.0;2019-11-04;Cataluña2008.0;32.8965
Comunitat Valenciana;2008.0;2019-11-04;Valencia2008.0;32.6027
Extremadura;2008.0;2019-11-04;Extremadura2008.0;33.8006
Galicia;2008.0;2019-11-04;Galicia2008.0;23.603
Madrid, Comunidad de;2008.0;2019-11-04;Madrid2008.0;27.1062
Murcia, Región de;2008.0;2019-11-04;Murcia2008.0;40.5574
Navarra, Comunidad Foral de (3);2008.0;2019-11-04;Navarra2008.0;18.7677
País Vasco;2008.0;2019-11-04;País Vasco2008.0;14.7808
Rioja, La (3);2008.0;2019-11-04;Rioja2008.0;37.0385
Ceuta (3);2008.0;2019-11-04;Ceuta2008.0;42.7
Melilla (3);2008.0;2019-11-04;Melilla2008.0;35.5
TOTAL;2009.0;2019-11-04;Nacional2009.0;30.8889
Andalucía;2009.0;2019-11-04;Andalucía2009.0;37.193
Aragón;2009.0;2019-11-04;Aragón2009.0;25.0246
Asturias, Principado de;2009.0;2019-11-04;Asturias2009.0;21.274
Balears, Illes;2009.0;2019-11-04;Balears2009.0;40.3298
Canarias;2009.0;2019-11-04;Canarias2009.0;30.7041
Cantabria (3);2009.0;2019-11-04;Cantabria2009.0;24.2328
