Region;year;date;id;ind
Navarra, Comunidad Foral de;2013;2019-10-25;Navarra2013;-1.1
País Vasco;2013;2019-10-25;País Vasco2013;-2.3
Rioja, La;2013;2019-10-25;Rioja2013;-3.1
Ceuta;2013;2019-10-25;Ceuta2013;0.3
Melilla;2013;2019-10-25;Melilla2013;-0.1
TOTAL NACIONAL;2012;2019-10-25;Nacional2012;-2.9
Andalucía;2012;2019-10-25;Andalucía2012;-3.4
Aragón;2012;2019-10-25;Aragón2012;-4.4
Asturias, Principado de;2012;2019-10-25;Asturias2012;-4.2
Balears, Illes;2012;2019-10-25;Balears2012;-1.6
Canarias;2012;2019-10-25;Canarias2012;-2.5
Cantabria;2012;2019-10-25;Cantabria2012;-2.5
Castilla y León;2012;2019-10-25;Castilla y León2012;-3.7
Castilla - La Mancha;2012;2019-10-25;Castilla - La Mancha2012;-5.0
Cataluña;2012;2019-10-25;Cataluña2012;-3.0
Comunitat Valenciana;2012;2019-10-25;Valencia2012;-3.9
Extremadura;2012;2019-10-25;Extremadura2012;-3.4
Galicia;2012;2019-10-25;Galicia2012;-2.8
Madrid, Comunidad de;2012;2019-10-25;Madrid2012;-1.6
Murcia, Región de;2012;2019-10-25;Murcia2012;-3.0
Navarra, Comunidad Foral de;2012;2019-10-25;Navarra2012;-3.3
País Vasco;2012;2019-10-25;País Vasco2012;-1.7
Rioja, La;2012;2019-10-25;Rioja2012;-3.7
Ceuta;2012;2019-10-25;Ceuta2012;-1.8
Melilla;2012;2019-10-25;Melilla2012;-1.8
TOTAL NACIONAL;2011;2019-10-25;Nacional2011;-1.0
Andalucía;2011;2019-10-25;Andalucía2011;-0.6
Aragón;2011;2019-10-25;Aragón2011;-1.8
Asturias, Principado de;2011;2019-10-25;Asturias2011;-1.4
Balears, Illes;2011;2019-10-25;Balears2011;-0.3
Canarias;2011;2019-10-25;Canarias2011;-1.0
Cantabria;2011;2019-10-25;Cantabria2011;-2.5
Castilla y León;2011;2019-10-25;Castilla y León2011;-0.7
Castilla - La Mancha;2011;2019-10-25;Castilla - La Mancha2011;-1.9
Cataluña;2011;2019-10-25;Cataluña2011;-2.0
Comunitat Valenciana;2011;2019-10-25;Valencia2011;-1.9
Extremadura;2011;2019-10-25;Extremadura2011;-1.6
Galicia;2011;2019-10-25;Galicia2011;-2.1
Madrid, Comunidad de;2011;2019-10-25;Madrid2011;0.6
Murcia, Región de;2011;2019-10-25;Murcia2011;-1.4
Navarra, Comunidad Foral de;2011;2019-10-25;Navarra2011;0.0
País Vasco;2011;2019-10-25;País Vasco2011;-0.8
Rioja, La;2011;2019-10-25;Rioja2011;-2.0
Ceuta;2011;2019-10-25;Ceuta2011;0.2
Melilla;2011;2019-10-25;Melilla2011;0.6
