Region;year;date;id;ind
TOTAL NACIONAL;2018;2019-10-25;Nacional2018;2.6
Andalucía;2018;2019-10-25;Andalucía2018;2.4
Aragón;2018;2019-10-25;Aragón2018;2.5
Asturias, Principado de;2018;2019-10-25;Asturias2018;2.3
Balears, Illes;2018;2019-10-25;Balears2018;2.2
Canarias;2018;2019-10-25;Canarias2018;2.4
Cantabria;2018;2019-10-25;Cantabria2018;3.4
Castilla y León;2018;2019-10-25;Castilla y León2018;2.5
Castilla - La Mancha;2018;2019-10-25;Castilla - La Mancha2018;2.8
Cataluña;2018;2019-10-25;Cataluña2018;2.3
Comunitat Valenciana;2018;2019-10-25;Valencia2018;2.1
Extremadura;2018;2019-10-25;Extremadura2018;2.0
Galicia;2018;2019-10-25;Galicia2018;2.7
Madrid, Comunidad de;2018;2019-10-25;Madrid2018;3.7
Murcia, Región de;2018;2019-10-25;Murcia2018;1.5
Navarra, Comunidad Foral de;2018;2019-10-25;Navarra2018;3.0
País Vasco;2018;2019-10-25;País Vasco2018;2.2
Rioja, La;2018;2019-10-25;Rioja2018;1.6
Ceuta;2018;2019-10-25;Ceuta2018;1.5
Melilla;2018;2019-10-25;Melilla2018;1.6
TOTAL NACIONAL;2017;2019-10-25;Nacional2017;3.0
Andalucía;2017;2019-10-25;Andalucía2017;2.7
Aragón;2017;2019-10-25;Aragón2017;3.4
Asturias, Principado de;2017;2019-10-25;Asturias2017;3.8
Balears, Illes;2017;2019-10-25;Balears2017;2.4
Canarias;2017;2019-10-25;Canarias2017;2.7
Cantabria;2017;2019-10-25;Cantabria2017;3.4
Castilla y León;2017;2019-10-25;Castilla y León2017;1.7
Castilla - La Mancha;2017;2019-10-25;Castilla - La Mancha2017;2.4
Cataluña;2017;2019-10-25;Cataluña2017;3.2
Comunitat Valenciana;2017;2019-10-25;Valencia2017;3.1
Extremadura;2017;2019-10-25;Extremadura2017;2.1
Galicia;2017;2019-10-25;Galicia2017;3.1
Madrid, Comunidad de;2017;2019-10-25;Madrid2017;3.3
Murcia, Región de;2017;2019-10-25;Murcia2017;3.1
Navarra, Comunidad Foral de;2017;2019-10-25;Navarra2017;2.8
País Vasco;2017;2019-10-25;País Vasco2017;3.1
Rioja, La;2017;2019-10-25;Rioja2017;1.5
Ceuta;2017;2019-10-25;Ceuta2017;1.6
Melilla;2017;2019-10-25;Melilla2017;1.8
TOTAL NACIONAL;2016;2019-10-25;Nacional2016;3.2
Andalucía;2016;2019-10-25;Andalucía2016;2.9
Aragón;2016;2019-10-25;Aragón2016;3.2
Asturias, Principado de;2016;2019-10-25;Asturias2016;1.6
Balears, Illes;2016;2019-10-25;Balears2016;4.4
Canarias;2016;2019-10-25;Canarias2016;3.4
Cantabria;2016;2019-10-25;Cantabria2016;2.6
Castilla y León;2016;2019-10-25;Castilla y León2016;3.1
Castilla - La Mancha;2016;2019-10-25;Castilla - La Mancha2016;4.2
Cataluña;2016;2019-10-25;Cataluña2016;3.5
Comunitat Valenciana;2016;2019-10-25;Valencia2016;2.8
Extremadura;2016;2019-10-25;Extremadura2016;1.7
Galicia;2016;2019-10-25;Galicia2016;3.1
Madrid, Comunidad de;2016;2019-10-25;Madrid2016;3.2
Murcia, Región de;2016;2019-10-25;Murcia2016;4.3
Navarra, Comunidad Foral de;2016;2019-10-25;Navarra2016;3.0
País Vasco;2016;2019-10-25;País Vasco2016;3.0
Rioja, La;2016;2019-10-25;Rioja2016;2.6
Ceuta;2016;2019-10-25;Ceuta2016;2.0
Melilla;2016;2019-10-25;Melilla2016;2.4
TOTAL NACIONAL;2015;2019-10-25;Nacional2015;3.6
Andalucía;2015;2019-10-25;Andalucía2015;3.4
Aragón;2015;2019-10-25;Aragón2015;1.5
Asturias, Principado de;2015;2019-10-25;Asturias2015;2.5
Balears, Illes;2015;2019-10-25;Balears2015;3.5
Canarias;2015;2019-10-25;Canarias2015;3.0
Cantabria;2015;2019-10-25;Cantabria2015;2.4
Castilla y León;2015;2019-10-25;Castilla y León2015;2.5
Castilla - La Mancha;2015;2019-10-25;Castilla - La Mancha2015;3.8
Cataluña;2015;2019-10-25;Cataluña2015;4.2
Comunitat Valenciana;2015;2019-10-25;Valencia2015;3.5
Extremadura;2015;2019-10-25;Extremadura2015;3.0
Galicia;2015;2019-10-25;Galicia2015;4.3
Madrid, Comunidad de;2015;2019-10-25;Madrid2015;3.9
Murcia, Región de;2015;2019-10-25;Murcia2015;6.6
Navarra, Comunidad Foral de;2015;2019-10-25;Navarra2015;2.8
País Vasco;2015;2019-10-25;País Vasco2015;3.5
Rioja, La;2015;2019-10-25;Rioja2015;3.2
Ceuta;2015;2019-10-25;Ceuta2015;2.7
Melilla;2015;2019-10-25;Melilla2015;2.7
TOTAL NACIONAL;2014;2019-10-25;Nacional2014;1.4
Andalucía;2014;2019-10-25;Andalucía2014;1.6
Aragón;2014;2019-10-25;Aragón2014;1.1
Asturias, Principado de;2014;2019-10-25;Asturias2014;-0.4
Balears, Illes;2014;2019-10-25;Balears2014;3.0
Canarias;2014;2019-10-25;Canarias2014;0.8
Cantabria;2014;2019-10-25;Cantabria2014;1.3
Castilla y León;2014;2019-10-25;Castilla y León2014;0.2
Castilla - La Mancha;2014;2019-10-25;Castilla - La Mancha2014;-1.4
Cataluña;2014;2019-10-25;Cataluña2014;1.8
Comunitat Valenciana;2014;2019-10-25;Valencia2014;2.1
Extremadura;2014;2019-10-25;Extremadura2014;-0.1
Galicia;2014;2019-10-25;Galicia2014;0.6
Madrid, Comunidad de;2014;2019-10-25;Madrid2014;1.5
Murcia, Región de;2014;2019-10-25;Murcia2014;2.2
Navarra, Comunidad Foral de;2014;2019-10-25;Navarra2014;2.3
País Vasco;2014;2019-10-25;País Vasco2014;2.0
Rioja, La;2014;2019-10-25;Rioja2014;0.7
Ceuta;2014;2019-10-25;Ceuta2014;-0.3
Melilla;2014;2019-10-25;Melilla2014;1.2
TOTAL NACIONAL;2013;2019-10-25;Nacional2013;-1.7
Andalucía;2013;2019-10-25;Andalucía2013;-2.2
Aragón;2013;2019-10-25;Aragón2013;0.2
Asturias, Principado de;2013;2019-10-25;Asturias2013;-3.5
Balears, Illes;2013;2019-10-25;Balears2013;-1.9
Canarias;2013;2019-10-25;Canarias2013;-1.3
Cantabria;2013;2019-10-25;Cantabria2013;-3.7
Castilla y León;2013;2019-10-25;Castilla y León2013;-2.5
Castilla - La Mancha;2013;2019-10-25;Castilla - La Mancha2013;-0.7
Cataluña;2013;2019-10-25;Cataluña2013;-1.5
Comunitat Valenciana;2013;2019-10-25;Valencia2013;-1.5
Extremadura;2013;2019-10-25;Extremadura2013;-1.0
Galicia;2013;2019-10-25;Galicia2013;-1.6
Madrid, Comunidad de;2013;2019-10-25;Madrid2013;-1.7
Murcia, Región de;2013;2019-10-25;Murcia2013;-1.5
