Region;year;date;id;Renta
Nacional;2018;2019-10-30;Nacional2018;28417.0
Andalucía;2018;2019-10-30;Andalucía2018;24091.0
Aragón;2018;2019-10-30;Aragón2018;28886.0
Asturias;2018;2019-10-30;Asturias2018;27069.0
Balears;2018;2019-10-30;Balears2018;34007.0
Canarias;2018;2019-10-30;Canarias2018;23048.0
Cantabria;2018;2019-10-30;Cantabria2018;26888.0
Castilla y León;2018;2019-10-30;Castilla y León2018;27665.0
Castilla - La Mancha;2018;2019-10-30;Castilla - La Mancha2018;24401.0
Cataluña;2018;2019-10-30;Cataluña2018;32763.0
Comunitat Valenciana;2018;2019-10-30;Valencia2018;25207.0
Extremadura;2018;2019-10-30;Extremadura2018;21006.0
Galicia;2018;2019-10-30;Galicia2018;27658.0
Madrid;2018;2019-10-30;Madrid2018;33055.0
Murcia;2018;2019-10-30;Murcia2018;24801.0
Navarra;2018;2019-10-30;Navarra2018;33556.0
País Vasco;2018;2019-10-30;País Vasco2018;35049.0
Rioja;2018;2019-10-30;Rioja2018;28549.0
Ceuta;2018;2019-10-30;Ceuta2018;28700.0
Melilla;2018;2019-10-30;Melilla2018;41714.0
Nacional;2017;2019-10-30;Nacional2017;27558.0
Andalucía;2017;2019-10-30;Andalucía2017;23699.0
Aragón;2017;2019-10-30;Aragón2017;29098.0
Asturias;2017;2019-10-30;Asturias2017;27454.0
Balears;2017;2019-10-30;Balears2017;32163.0
Canarias;2017;2019-10-30;Canarias2017;22790.0
Cantabria;2017;2019-10-30;Cantabria2017;27024.0
Castilla y León;2017;2019-10-30;Castilla y León2017;26113.0
Castilla - La Mancha;2017;2019-10-30;Castilla - La Mancha2017;23159.0
Cataluña;2017;2019-10-30;Cataluña2017;31411.0
Comunitat Valenciana;2017;2019-10-30;Valencia2017;24034.0
Extremadura;2017;2019-10-30;Extremadura2017;20395.0
Galicia;2017;2019-10-30;Galicia2017;26533.0
Madrid;2017;2019-10-30;Madrid2017;32451.0
Murcia;2017;2019-10-30;Murcia2017;23574.0
Navarra;2017;2019-10-30;Navarra2017;33431.0
País Vasco;2017;2019-10-30;País Vasco2017;34203.0
Rioja;2017;2019-10-30;Rioja2017;28775.0
Ceuta;2017;2019-10-30;Ceuta2017;29117.0
Melilla;2017;2019-10-30;Melilla2017;34089.0
Nacional;2016;2019-10-30;Nacional2016;26730.0
Andalucía;2016;2019-10-30;Andalucía2016;21966.0
Aragón;2016;2019-10-30;Aragón2016;28019.0
Asturias;2016;2019-10-30;Asturias2016;27020.0
Balears;2016;2019-10-30;Balears2016;30859.0
Canarias;2016;2019-10-30;Canarias2016;22450.0
Cantabria;2016;2019-10-30;Cantabria2016;25787.0
Castilla y León;2016;2019-10-30;Castilla y León2016;25255.0
Castilla - La Mancha;2016;2019-10-30;Castilla - La Mancha2016;22473.0
Cataluña;2016;2019-10-30;Cataluña2016;31339.0
Comunitat Valenciana;2016;2019-10-30;Valencia2016;22744.0
Extremadura;2016;2019-10-30;Extremadura2016;21671.0
Galicia;2016;2019-10-30;Galicia2016;25980.0
Madrid;2016;2019-10-30;Madrid2016;31370.0
Murcia;2016;2019-10-30;Murcia2016;22425.0
Navarra;2016;2019-10-30;Navarra2016;33167.0
País Vasco;2016;2019-10-30;País Vasco2016;34054.0
Rioja;2016;2019-10-30;Rioja2016;27599.0
Ceuta;2016;2019-10-30;Ceuta2016;30180.0
Melilla;2016;2019-10-30;Melilla2016;35808.0
Nacional;2015;2019-10-30;Nacional2015;26092.0
Andalucía;2015;2019-10-30;Andalucía2015;20851.0
Aragón;2015;2019-10-30;Aragón2015;30058.0
Asturias;2015;2019-10-30;Asturias2015;25909.0
Balears;2015;2019-10-30;Balears2015;27284.0
Canarias;2015;2019-10-30;Canarias2015;22261.0
Cantabria;2015;2019-10-30;Cantabria2015;25282.0
Castilla y León;2015;2019-10-30;Castilla y León2015;24838.0
Castilla - La Mancha;2015;2019-10-30;Castilla - La Mancha2015;21939.0
Cataluña;2015;2019-10-30;Cataluña2015;30655.0
Comunitat Valenciana;2015;2019-10-30;Valencia2015;22132.0
Extremadura;2015;2019-10-30;Extremadura2015;21092.0
Galicia;2015;2019-10-30;Galicia2015;25614.0
Madrid;2015;2019-10-30;Madrid2015;31243.0
Murcia;2015;2019-10-30;Murcia2015;21529.0
Navarra;2015;2019-10-30;Navarra2015;32979.0
País Vasco;2015;2019-10-30;País Vasco2015;33053.0
Rioja;2015;2019-10-30;Rioja2015;26604.0
Ceuta;2015;2019-10-30;Ceuta2015;28280.0
Melilla;2015;2019-10-30;Melilla2015;31526.0
Nacional;2014;2019-10-30;Nacional2014;26154.0
Andalucía;2014;2019-10-30;Andalucía2014;21332.0
Aragón;2014;2019-10-30;Aragón2014;29120.0
Asturias;2014;2019-10-30;Asturias2014;25623.0
Balears;2014;2019-10-30;Balears2014;26923.0
Canarias;2014;2019-10-30;Canarias2014;21539.0
Cantabria;2014;2019-10-30;Cantabria2014;23905.0
Castilla y León;2014;2019-10-30;Castilla y León2014;24587.0
Castilla - La Mancha;2014;2019-10-30;Castilla - La Mancha2014;22271.0
Cataluña;2014;2019-10-30;Cataluña2014;30407.0
Comunitat Valenciana;2014;2019-10-30;Valencia2014;22392.0
Extremadura;2014;2019-10-30;Extremadura2014;19364.0
Galicia;2014;2019-10-30;Galicia2014;26001.0
Madrid;2014;2019-10-30;Madrid2014;31587.0
Murcia;2014;2019-10-30;Murcia2014;21269.0
Navarra;2014;2019-10-30;Navarra2014;33047.0
País Vasco;2014;2019-10-30;País Vasco2014;34240.0
Rioja;2014;2019-10-30;Rioja2014;26666.0
Ceuta;2014;2019-10-30;Ceuta2014;30336.0
Melilla;2014;2019-10-30;Melilla2014;35741.0
Nacional;2013;2019-10-30;Nacional2013;26775.0
Andalucía;2013;2019-10-30;Andalucía2013;22450.0
Aragón;2013;2019-10-30;Aragón2013;29311.0
Asturias;2013;2019-10-30;Asturias2013;25704.0
Balears;2013;2019-10-30;Balears2013;26307.0
Canarias;2013;2019-10-30;Canarias2013;22037.0
Cantabria;2013;2019-10-30;Cantabria2013;24188.0
Castilla y León;2013;2019-10-30;Castilla y León2013;25717.0
Castilla - La Mancha;2013;2019-10-30;Castilla - La Mancha2013;22256.0
Cataluña;2013;2019-10-30;Cataluña2013;30423.0
Comunitat Valenciana;2013;2019-10-30;Valencia2013;23189.0
Extremadura;2013;2019-10-30;Extremadura2013;21078.0
Galicia;2013;2019-10-30;Galicia2013;25939.0
Madrid;2013;2019-10-30;Madrid2013;32632.0
Murcia;2013;2019-10-30;Murcia2013;23011.0
Navarra;2013;2019-10-30;Navarra2013;34320.0
País Vasco;2013;2019-10-30;País Vasco2013;34487.0
Rioja;2013;2019-10-30;Rioja2013;25643.0
Ceuta;2013;2019-10-30;Ceuta2013;31453.0
