Region;year;date;id;Renta
Melilla;2013;2019-10-30;Melilla2013;36196.0
Nacional;2012;2019-10-30;Nacional2012;27747.0
Andalucía;2012;2019-10-30;Andalucía2012;23852.0
Aragón;2012;2019-10-30;Aragón2012;29339.0
Asturias;2012;2019-10-30;Asturias2012;27364.0
Balears;2012;2019-10-30;Balears2012;28101.0
Canarias;2012;2019-10-30;Canarias2012;22084.0
Cantabria;2012;2019-10-30;Cantabria2012;25764.0
Castilla y León;2012;2019-10-30;Castilla y León2012;26377.0
Castilla - La Mancha;2012;2019-10-30;Castilla - La Mancha2012;23515.0
Cataluña;2012;2019-10-30;Cataluña2012;30885.0
Comunitat Valenciana;2012;2019-10-30;Valencia2012;25122.0
Extremadura;2012;2019-10-30;Extremadura2012;20895.0
Galicia;2012;2019-10-30;Galicia2012;26648.0
Madrid;2012;2019-10-30;Madrid2012;33917.0
Murcia;2012;2019-10-30;Murcia2012;23901.0
Navarra;2012;2019-10-30;Navarra2012;35783.0
País Vasco;2012;2019-10-30;País Vasco2012;33891.0
Rioja;2012;2019-10-30;Rioja2012;26766.0
Ceuta;2012;2019-10-30;Ceuta2012;32763.0
Melilla;2012;2019-10-30;Melilla2012;39173.0
Nacional;2011;2019-10-30;Nacional2011;28206.0
Andalucía;2011;2019-10-30;Andalucía2011;23854.0
Aragón;2011;2019-10-30;Aragón2011;29066.0
Asturias;2011;2019-10-30;Asturias2011;27817.0
Balears;2011;2019-10-30;Balears2011;28590.0
Canarias;2011;2019-10-30;Canarias2011;22828.0
Cantabria;2011;2019-10-30;Cantabria2011;26431.0
Castilla y León;2011;2019-10-30;Castilla y León2011;26509.0
Castilla - La Mancha;2011;2019-10-30;Castilla - La Mancha2011;24318.0
Cataluña;2011;2019-10-30;Cataluña2011;31201.0
Comunitat Valenciana;2011;2019-10-30;Valencia2011;26012.0
Extremadura;2011;2019-10-30;Extremadura2011;22487.0
Galicia;2011;2019-10-30;Galicia2011;27294.0
Madrid;2011;2019-10-30;Madrid2011;34529.0
Murcia;2011;2019-10-30;Murcia2011;23990.0
Navarra;2011;2019-10-30;Navarra2011;37221.0
País Vasco;2011;2019-10-30;País Vasco2011;34676.0
Rioja;2011;2019-10-30;Rioja2011;26238.0
Ceuta;2011;2019-10-30;Ceuta2011;36544.0
Melilla;2011;2019-10-30;Melilla2011;36711.0
Nacional;2010;2019-10-30;Nacional2010;29634.0
Andalucía;2010;2019-10-30;Andalucía2010;25543.0
Aragón;2010;2019-10-30;Aragón2010;30166.0
Asturias;2010;2019-10-30;Asturias2010;30226.0
Balears;2010;2019-10-30;Balears2010;29405.0
Canarias;2010;2019-10-30;Canarias2010;24717.0
Cantabria;2010;2019-10-30;Cantabria2010;28237.0
Castilla y León;2010;2019-10-30;Castilla y León2010;27248.0
Castilla - La Mancha;2010;2019-10-30;Castilla - La Mancha2010;26717.0
Cataluña;2010;2019-10-30;Cataluña2010;33297.0
Comunitat Valenciana;2010;2019-10-30;Valencia2010;27057.0
Extremadura;2010;2019-10-30;Extremadura2010;23349.0
Galicia;2010;2019-10-30;Galicia2010;27986.0
Madrid;2010;2019-10-30;Madrid2010;35452.0
Murcia;2010;2019-10-30;Murcia2010;25446.0
Navarra;2010;2019-10-30;Navarra2010;37433.0
País Vasco;2010;2019-10-30;País Vasco2010;36211.0
Rioja;2010;2019-10-30;Rioja2010;27104.0
Ceuta;2010;2019-10-30;Ceuta2010;33477.0
Melilla;2010;2019-10-30;Melilla2010;37349.0
Nacional;2009;2019-10-30;Nacional2009;30045.0
Andalucía;2009;2019-10-30;Andalucía2009;26125.0
Aragón;2009;2019-10-30;Aragón2009;31598.0
Asturias;2009;2019-10-30;Asturias2009;30881.0
Balears;2009;2019-10-30;Balears2009;30672.0
Canarias;2009;2019-10-30;Canarias2009;24300.0
Cantabria;2009;2019-10-30;Cantabria2009;31234.0
Castilla y León;2009;2019-10-30;Castilla y León2009;27980.0
Castilla - La Mancha;2009;2019-10-30;Castilla - La Mancha2009;26388.0
Cataluña;2009;2019-10-30;Cataluña2009;33064.0
Comunitat Valenciana;2009;2019-10-30;Valencia2009;27100.0
Extremadura;2009;2019-10-30;Extremadura2009;24054.0
Galicia;2009;2019-10-30;Galicia2009;27029.0
Madrid;2009;2019-10-30;Madrid2009;36401.0
Murcia;2009;2019-10-30;Murcia2009;26757.0
Navarra;2009;2019-10-30;Navarra2009;37644.0
País Vasco;2009;2019-10-30;País Vasco2009;37707.0
Rioja;2009;2019-10-30;Rioja2009;29029.0
Ceuta;2009;2019-10-30;Ceuta2009;31524.0
Melilla;2009;2019-10-30;Melilla2009;34760.0
Nacional;2008;2019-10-30;Nacional2008;28787.0
Andalucía;2008;2019-10-30;Andalucía2008;25248.0
Aragón;2008;2019-10-30;Aragón2008;29506.0
Asturias;2008;2019-10-30;Asturias2008;29473.0
Balears;2008;2019-10-30;Balears2008;28981.0
Canarias;2008;2019-10-30;Canarias2008;24510.0
Cantabria;2008;2019-10-30;Cantabria2008;29576.0
Castilla y León;2008;2019-10-30;Castilla y León2008;26525.0
Castilla - La Mancha;2008;2019-10-30;Castilla - La Mancha2008;24974.0
Cataluña;2008;2019-10-30;Cataluña2008;32561.0
Comunitat Valenciana;2008;2019-10-30;Valencia2008;25802.0
Extremadura;2008;2019-10-30;Extremadura2008;21756.0
Galicia;2008;2019-10-30;Galicia2008;25859.0
Madrid;2008;2019-10-30;Madrid2008;33889.0
Murcia;2008;2019-10-30;Murcia2008;26995.0
Navarra;2008;2019-10-30;Navarra2008;35370.0
País Vasco;2008;2019-10-30;País Vasco2008;36110.0
Rioja;2008;2019-10-30;Rioja2008;27835.0
Ceuta;2008;2019-10-30;Ceuta2008;29776.0
Melilla;2008;2019-10-30;Melilla2008;33986.0
