Region;year;date;id;Renta
Murcia;2014;2019-10-30;Murcia2014;44.9
Navarra;2014;2019-10-30;Navarra2014;14.5
País Vasco;2014;2019-10-30;País Vasco2014;15.3
Rioja;2014;2019-10-30;Rioja2014;20.1
Ceuta;2014;2019-10-30;Ceuta2014;47.9
Melilla;2014;2019-10-30;Melilla2014;25.8
Nacional;2013;2019-10-30;Nacional2013;27.3
Andalucía;2013;2019-10-30;Andalucía2013;38.3
Aragón;2013;2019-10-30;Aragón2013;19.8
Asturias;2013;2019-10-30;Asturias2013;21.8
Balears;2013;2019-10-30;Balears2013;27.8
Canarias;2013;2019-10-30;Canarias2013;35.5
Cantabria;2013;2019-10-30;Cantabria2013;25.3
Castilla y León;2013;2019-10-30;Castilla y León2013;20.8
Castilla - La Mancha;2013;2019-10-30;Castilla - La Mancha2013;36.7
Cataluña;2013;2019-10-30;Cataluña2013;20.1
Comunitat Valenciana;2013;2019-10-30;Valencia2013;31.7
Extremadura;2013;2019-10-30;Extremadura2013;36.1
Galicia;2013;2019-10-30;Galicia2013;24.3
Madrid;2013;2019-10-30;Madrid2013;20.1
Murcia;2013;2019-10-30;Murcia2013;34.1
Navarra;2013;2019-10-30;Navarra2013;14.5
País Vasco;2013;2019-10-30;País Vasco2013;16.8
Rioja;2013;2019-10-30;Rioja2013;22.2
Ceuta;2013;2019-10-30;Ceuta2013;47.0
Melilla;2013;2019-10-30;Melilla2013;31.4
Nacional;2012;2019-10-30;Nacional2012;27.2
Andalucía;2012;2019-10-30;Andalucía2012;36.9
Aragón;2012;2019-10-30;Aragón2012;18.4
Asturias;2012;2019-10-30;Asturias2012;24.5
Balears;2012;2019-10-30;Balears2012;25.1
Canarias;2012;2019-10-30;Canarias2012;40.3
Cantabria;2012;2019-10-30;Cantabria2012;24.1
Castilla y León;2012;2019-10-30;Castilla y León2012;20.4
Castilla - La Mancha;2012;2019-10-30;Castilla - La Mancha2012;35.1
Cataluña;2012;2019-10-30;Cataluña2012;22.6
Comunitat Valenciana;2012;2019-10-30;Valencia2012;30.6
Extremadura;2012;2019-10-30;Extremadura2012;35.2
Galicia;2012;2019-10-30;Galicia2012;23.8
Madrid;2012;2019-10-30;Madrid2012;19.8
Murcia;2012;2019-10-30;Murcia2012;33.5
Navarra;2012;2019-10-30;Navarra2012;12.0
País Vasco;2012;2019-10-30;País Vasco2012;17.7
Rioja;2012;2019-10-30;Rioja2012;22.6
Ceuta;2012;2019-10-30;Ceuta2012;38.4
Melilla;2012;2019-10-30;Melilla2012;14.5
Nacional;2011;2019-10-30;Nacional2011;26.7
Andalucía;2011;2019-10-30;Andalucía2011;38.4
Aragón;2011;2019-10-30;Aragón2011;18.6
Asturias;2011;2019-10-30;Asturias2011;20.4
Balears;2011;2019-10-30;Balears2011;26.7
Canarias;2011;2019-10-30;Canarias2011;37.8
Cantabria;2011;2019-10-30;Cantabria2011;23.0
Castilla y León;2011;2019-10-30;Castilla y León2011;22.3
Castilla - La Mancha;2011;2019-10-30;Castilla - La Mancha2011;35.3
Cataluña;2011;2019-10-30;Cataluña2011;21.6
Comunitat Valenciana;2011;2019-10-30;Valencia2011;27.9
Extremadura;2011;2019-10-30;Extremadura2011;36.0
Galicia;2011;2019-10-30;Galicia2011;21.0
Madrid;2011;2019-10-30;Madrid2011;18.6
Murcia;2011;2019-10-30;Murcia2011;31.9
Navarra;2011;2019-10-30;Navarra2011;13.1
País Vasco;2011;2019-10-30;País Vasco2011;18.9
Rioja;2011;2019-10-30;Rioja2011;26.1
Ceuta;2011;2019-10-30;Ceuta2011;33.6
Melilla;2011;2019-10-30;Melilla2011;34.7
Nacional;2010;2019-10-30;Nacional2010;26.1
Andalucía;2010;2019-10-30;Andalucía2010;35.0
Aragón;2010;2019-10-30;Aragón2010;17.5
Asturias;2010;2019-10-30;Asturias2010;16.5
Balears;2010;2019-10-30;Balears2010;26.0
Canarias;2010;2019-10-30;Canarias2010;35.7
Cantabria;2010;2019-10-30;Cantabria2010;22.5
Castilla y León;2010;2019-10-30;Castilla y León2010;23.8
Castilla - La Mancha;2010;2019-10-30;Castilla - La Mancha2010;32.3
Cataluña;2010;2019-10-30;Cataluña2010;19.8
Comunitat Valenciana;2010;2019-10-30;Valencia2010;29.6
Extremadura;2010;2019-10-30;Extremadura2010;40.3
Galicia;2010;2019-10-30;Galicia2010;22.7
Madrid;2010;2019-10-30;Madrid2010;19.3
Murcia;2010;2019-10-30;Murcia2010;37.5
Navarra;2010;2019-10-30;Navarra2010;13.8
País Vasco;2010;2019-10-30;País Vasco2010;16.3
Rioja;2010;2019-10-30;Rioja2010;27.3
Ceuta;2010;2019-10-30;Ceuta2010;35.9
Melilla;2010;2019-10-30;Melilla2010;35.4
Nacional;2009;2019-10-30;Nacional2009;24.7
Andalucía;2009;2019-10-30;Andalucía2009;33.3
Aragón;2009;2019-10-30;Aragón2009;12.6
Asturias;2009;2019-10-30;Asturias2009;18.8
Balears;2009;2019-10-30;Balears2009;24.3
Canarias;2009;2019-10-30;Canarias2009;38.2
Cantabria;2009;2019-10-30;Cantabria2009;17.3
Castilla y León;2009;2019-10-30;Castilla y León2009;22.1
Castilla - La Mancha;2009;2019-10-30;Castilla - La Mancha2009;28.6
Cataluña;2009;2019-10-30;Cataluña2009;19.0
Comunitat Valenciana;2009;2019-10-30;Valencia2009;26.5
Extremadura;2009;2019-10-30;Extremadura2009;35.4
Galicia;2009;2019-10-30;Galicia2009;24.6
Madrid;2009;2019-10-30;Madrid2009;19.6
Murcia;2009;2019-10-30;Murcia2009;33.3
Navarra;2009;2019-10-30;Navarra2009;10.4
País Vasco;2009;2019-10-30;País Vasco2009;14.8
Rioja;2009;2019-10-30;Rioja2009;19.5
Ceuta;2009;2019-10-30;Ceuta2009;37.3
Melilla;2009;2019-10-30;Melilla2009;33.9
Nacional;2008;2019-10-30;Nacional2008;23.8
Andalucía;2008;2019-10-30;Andalucía2008;31.6
Aragón;2008;2019-10-30;Aragón2008;17.1
Asturias;2008;2019-10-30;Asturias2008;19.5
Balears;2008;2019-10-30;Balears2008;23.6
Canarias;2008;2019-10-30;Canarias2008;34.8
Cantabria;2008;2019-10-30;Cantabria2008;19.9
Castilla y León;2008;2019-10-30;Castilla y León2008;21.4
Castilla - La Mancha;2008;2019-10-30;Castilla - La Mancha2008;28.8
Cataluña;2008;2019-10-30;Cataluña2008;15.6
Comunitat Valenciana;2008;2019-10-30;Valencia2008;27.5
Extremadura;2008;2019-10-30;Extremadura2008;37.9
Galicia;2008;2019-10-30;Galicia2008;25.1
Madrid;2008;2019-10-30;Madrid2008;19.3
Murcia;2008;2019-10-30;Murcia2008;27.5
Navarra;2008;2019-10-30;Navarra2008;8.6
País Vasco;2008;2019-10-30;País Vasco2008;13.9
Rioja;2008;2019-10-30;Rioja2008;19.6
Ceuta;2008;2019-10-30;Ceuta2008;43.4
Melilla;2008;2019-10-30;Melilla2008;24.6
