Region;year;date;id;Renta
Nacional;2018;2019-10-30;Nacional2018;26.1
Andalucía;2018;2019-10-30;Andalucía2018;38.2
Aragón;2018;2019-10-30;Aragón2018;17.7
Asturias;2018;2019-10-30;Asturias2018;20.9
Balears;2018;2019-10-30;Balears2018;18.1
Canarias;2018;2019-10-30;Canarias2018;36.4
Cantabria;2018;2019-10-30;Cantabria2018;25.0
Castilla y León;2018;2019-10-30;Castilla y León2018;19.5
Castilla - La Mancha;2018;2019-10-30;Castilla - La Mancha2018;33.5
Cataluña;2018;2019-10-30;Cataluña2018;18.9
Comunitat Valenciana;2018;2019-10-30;Valencia2018;30.2
Extremadura;2018;2019-10-30;Extremadura2018;44.6
Galicia;2018;2019-10-30;Galicia2018;23.0
Madrid;2018;2019-10-30;Madrid2018;19.0
Murcia;2018;2019-10-30;Murcia2018;32.7
Navarra;2018;2019-10-30;Navarra2018;12.6
País Vasco;2018;2019-10-30;País Vasco2018;12.1
Rioja;2018;2019-10-30;Rioja2018;20.4
Ceuta;2018;2019-10-30;Ceuta2018;49.3
Melilla;2018;2019-10-30;Melilla2018;24.1
Nacional;2017;2019-10-30;Nacional2017;26.6
Andalucía;2017;2019-10-30;Andalucía2017;37.3
Aragón;2017;2019-10-30;Aragón2017;15.8
Asturias;2017;2019-10-30;Asturias2017;17.2
Balears;2017;2019-10-30;Balears2017;24.7
Canarias;2017;2019-10-30;Canarias2017;40.2
Cantabria;2017;2019-10-30;Cantabria2017;20.5
Castilla y León;2017;2019-10-30;Castilla y León2017;18.4
Castilla - La Mancha;2017;2019-10-30;Castilla - La Mancha2017;33.9
Cataluña;2017;2019-10-30;Cataluña2017;19.4
Comunitat Valenciana;2017;2019-10-30;Valencia2017;31.3
Extremadura;2017;2019-10-30;Extremadura2017;44.3
Galicia;2017;2019-10-30;Galicia2017;22.6
Madrid;2017;2019-10-30;Madrid2017;20.6
Murcia;2017;2019-10-30;Murcia2017;34.7
Navarra;2017;2019-10-30;Navarra2017;13.5
País Vasco;2017;2019-10-30;País Vasco2017;14.5
Rioja;2017;2019-10-30;Rioja2017;14.4
Ceuta;2017;2019-10-30;Ceuta2017;35.8
Melilla;2017;2019-10-30;Melilla2017;29.4
Nacional;2016;2019-10-30;Nacional2016;27.9
Andalucía;2016;2019-10-30;Andalucía2016;41.7
Aragón;2016;2019-10-30;Aragón2016;18.7
Asturias;2016;2019-10-30;Asturias2016;18.5
Balears;2016;2019-10-30;Balears2016;19.1
Canarias;2016;2019-10-30;Canarias2016;44.6
Cantabria;2016;2019-10-30;Cantabria2016;24.6
Castilla y León;2016;2019-10-30;Castilla y León2016;23.2
Castilla - La Mancha;2016;2019-10-30;Castilla - La Mancha2016;37.9
Cataluña;2016;2019-10-30;Cataluña2016;17.9
Comunitat Valenciana;2016;2019-10-30;Valencia2016;30.5
Extremadura;2016;2019-10-30;Extremadura2016;35.8
Galicia;2016;2019-10-30;Galicia2016;25.4
Madrid;2016;2019-10-30;Madrid2016;21.7
Murcia;2016;2019-10-30;Murcia2016;34.8
Navarra;2016;2019-10-30;Navarra2016;13.0
País Vasco;2016;2019-10-30;País Vasco2016;15.9
Rioja;2016;2019-10-30;Rioja2016;17.4
Ceuta;2016;2019-10-30;Ceuta2016;41.9
Melilla;2016;2019-10-30;Melilla2016;29.3
Nacional;2015;2019-10-30;Nacional2015;28.6
Andalucía;2015;2019-10-30;Andalucía2015;43.2
Aragón;2015;2019-10-30;Aragón2015;17.7
Asturias;2015;2019-10-30;Asturias2015;24.2
Balears;2015;2019-10-30;Balears2015;26.3
Canarias;2015;2019-10-30;Canarias2015;37.9
Cantabria;2015;2019-10-30;Cantabria2015;20.4
Castilla y León;2015;2019-10-30;Castilla y León2015;23.3
Castilla - La Mancha;2015;2019-10-30;Castilla - La Mancha2015;36.7
Cataluña;2015;2019-10-30;Cataluña2015;19.8
Comunitat Valenciana;2015;2019-10-30;Valencia2015;32.9
Extremadura;2015;2019-10-30;Extremadura2015;35.2
Galicia;2015;2019-10-30;Galicia2015;25.7
Madrid;2015;2019-10-30;Madrid2015;20.5
Murcia;2015;2019-10-30;Murcia2015;38.8
Navarra;2015;2019-10-30;Navarra2015;13.0
País Vasco;2015;2019-10-30;País Vasco2015;17.6
Rioja;2015;2019-10-30;Rioja2015;22.1
Ceuta;2015;2019-10-30;Ceuta2015;41.7
Melilla;2015;2019-10-30;Melilla2015;31.8
Nacional;2014;2019-10-30;Nacional2014;29.2
Andalucía;2014;2019-10-30;Andalucía2014;42.3
Aragón;2014;2019-10-30;Aragón2014;20.7
Asturias;2014;2019-10-30;Asturias2014;23.4
Balears;2014;2019-10-30;Balears2014;23.8
Canarias;2014;2019-10-30;Canarias2014;37.0
Cantabria;2014;2019-10-30;Cantabria2014;27.4
Castilla y León;2014;2019-10-30;Castilla y León2014;26.1
Castilla - La Mancha;2014;2019-10-30;Castilla - La Mancha2014;36.9
Cataluña;2014;2019-10-30;Cataluña2014;21.8
Comunitat Valenciana;2014;2019-10-30;Valencia2014;34.7
Extremadura;2014;2019-10-30;Extremadura2014;39.8
Galicia;2014;2019-10-30;Galicia2014;23.8
Madrid;2014;2019-10-30;Madrid2014;19.2
