fila,subfila,columna,subcolumna,valor
Comunitat Valenciana,,1997,IMPORT,"8609606,37"
Extremadura,,1997,IMPORT,"229869,50"
Galicia,,1997,IMPORT,"5360516,28"
"Madrid, Comunidad de",,1997,IMPORT,"25655046,96"
"Murcia, Región de",,1997,IMPORT,"1727898,28"
"Navarra, Comunidad Foral de",,1997,IMPORT,"2316662,36"
País Vasco,,1997,IMPORT,"6408266,91"
"Rioja, La",,1997,IMPORT,"450506,88"
Ceuta,,1997,IMPORT,"108923,70"
Melilla,,1997,IMPORT,"124163,20"
No determinado,,1997,IMPORT,"1350679,08"
Andalucía,,1998,EXPORT,"8132575,22"
Aragón,,1998,EXPORT,"5021427,76"
"Asturias, Principado de",,1998,EXPORT,"1364940,14"
"Balears, Illes",,1998,EXPORT,"495042,16"
Canarias,,1998,EXPORT,"608486,43"
Cantabria,,1998,EXPORT,"1099337,99"
Castilla y León,,1998,EXPORT,"6600216,12"
Castilla-La Mancha,,1998,EXPORT,"1733706,31"
Cataluña,,1998,EXPORT,"26924061,49"
Comunitat Valenciana,,1998,EXPORT,"13020265,41"
Extremadura,,1998,EXPORT,"558648,44"
Galicia,,1998,EXPORT,"5347270,09"
"Madrid, Comunidad de",,1998,EXPORT,"10437439,89"
"Murcia, Región de",,1998,EXPORT,"2533981,64"
"Navarra, Comunidad Foral de",,1998,EXPORT,"3962762,10"
País Vasco,,1998,EXPORT,"9705401,12"
"Rioja, La",,1998,EXPORT,"762831,93"
Ceuta,,1998,EXPORT,"235,50"
Melilla,,1998,EXPORT,"9703,75"
No determinado,,1998,EXPORT,"1531124,29"
Andalucía,,1998,IMPORT,"7330468,53"
Aragón,,1998,IMPORT,"4349291,56"
"Asturias, Principado de",,1998,IMPORT,"1517452,82"
"Balears, Illes",,1998,IMPORT,"1042079,53"
Canarias,,1998,IMPORT,"2788704,25"
Cantabria,,1998,IMPORT,"1424906,18"
Castilla y León,,1998,IMPORT,"6687222,72"
Castilla-La Mancha,,1998,IMPORT,"2262297,92"
Cataluña,,1998,IMPORT,"35764302,86"
Comunitat Valenciana,,1998,IMPORT,"9450975,82"
Extremadura,,1998,IMPORT,"284857,26"
Galicia,,1998,IMPORT,"6273535,19"
"Madrid, Comunidad de",,1998,IMPORT,"29867891,30"
"Murcia, Región de",,1998,IMPORT,"1847858,15"
"Navarra, Comunidad Foral de",,1998,IMPORT,"2884456,94"
País Vasco,,1998,IMPORT,"6905852,10"
"Rioja, La",,1998,IMPORT,"490086,84"
Ceuta,,1998,IMPORT,"168344,61"
Melilla,,1998,IMPORT,"210556,44"
No determinado,,1998,IMPORT,"1304968,61"
Andalucía,,1999,EXPORT,"8623581,46"
Aragón,,1999,EXPORT,"4815191,43"
"Asturias, Principado de",,1999,EXPORT,"1323639,72"
"Balears, Illes",,1999,EXPORT,"832680,77"
Canarias,,1999,EXPORT,"639462,26"
Cantabria,,1999,EXPORT,"1137167,04"
Castilla y León,,1999,EXPORT,"7411806,96"
Castilla-La Mancha,,1999,EXPORT,"1591810,31"
Cataluña,,1999,EXPORT,"27677077,95"
Comunitat Valenciana,,1999,EXPORT,"13565823,42"
Extremadura,,1999,EXPORT,"629363,06"
Galicia,,1999,EXPORT,"6011132,35"
"Madrid, Comunidad de",,1999,EXPORT,"11610736,19"
"Murcia, Región de",,1999,EXPORT,"2695534,87"
"Navarra, Comunidad Foral de",,1999,EXPORT,"4088075,64"
País Vasco,,1999,EXPORT,"9865527,89"
"Rioja, La",,1999,EXPORT,"779434,79"
Ceuta,,1999,EXPORT,"9986,43"
Melilla,,1999,EXPORT,"1093,52"
No determinado,,1999,EXPORT,"1479501,08"
Andalucía,,1999,IMPORT,"8673550,11"
Aragón,,1999,IMPORT,"4846002,26"
"Asturias, Principado de",,1999,IMPORT,"1557860,79"
"Balears, Illes",,1999,IMPORT,"1468110,62"
Canarias,,1999,IMPORT,"3135512,45"
Cantabria,,1999,IMPORT,"1445680,06"
Castilla y León,,1999,IMPORT,"7704262,72"
Castilla-La Mancha,,1999,IMPORT,"2720834,58"
Cataluña,,1999,IMPORT,"39924630,33"
Comunitat Valenciana,,1999,IMPORT,"10580901,99"
Extremadura,,1999,IMPORT,"346778,07"
Galicia,,1999,IMPORT,"6599888,45"
"Madrid, Comunidad de",,1999,IMPORT,"35259166,24"
"Murcia, Región de",,1999,IMPORT,"2083428,60"
"Navarra, Comunidad Foral de",,1999,IMPORT,"3203239,17"
País Vasco,,1999,IMPORT,"7527595,68"
"Rioja, La",,1999,IMPORT,"565058,05"
Ceuta,,1999,IMPORT,"181611,58"
Melilla,,1999,IMPORT,"203711,64"
No determinado,,1999,IMPORT,"1065882,68"
Andalucía,,2000,EXPORT,"10115760,00"
Aragón,,2000,EXPORT,"5043571,70"
"Asturias, Principado de",,2000,EXPORT,"1682276,09"
"Balears, Illes",,2000,EXPORT,"883127,82"
Canarias,,2000,EXPORT,"873597,44"
Cantabria,,2000,EXPORT,"1444581,54"
Castilla y León,,2000,EXPORT,"8239010,09"
Castilla-La Mancha,,2000,EXPORT,"1837523,97"
Cataluña,,2000,EXPORT,"33538335,15"
Comunitat Valenciana,,2000,EXPORT,"15255469,02"
Extremadura,,2000,EXPORT,"690461,53"
Galicia,,2000,EXPORT,"8298579,83"
"Madrid, Comunidad de",,2000,EXPORT,"13878359,83"
"Murcia, Región de",,2000,EXPORT,"3184763,94"
"Navarra, Comunidad Foral de",,2000,EXPORT,"4805641,53"
País Vasco,,2000,EXPORT,"11623237,89"
"Rioja, La",,2000,EXPORT,"805313,41"
Ceuta,,2000,EXPORT,"98014,25"
Melilla,,2000,EXPORT,"374,50"
No determinado,,2000,EXPORT,"1879336,50"
Andalucía,,2000,IMPORT,"12127352,72"
Aragón,,2000,IMPORT,"5107161,53"
"Asturias, Principado de",,2000,IMPORT,"1960666,51"
"Balears, Illes",,2000,IMPORT,"1771890,66"
Canarias,,2000,IMPORT,"3757630,93"
Cantabria,,2000,IMPORT,"1458118,28"
Castilla y León,,2000,IMPORT,"8416081,52"
Castilla-La Mancha,,2000,IMPORT,"3332771,76"
Cataluña,,2000,IMPORT,"48670403,48"
Comunitat Valenciana,,2000,IMPORT,"12600303,04"
Extremadura,,2000,IMPORT,"371915,27"
Galicia,,2000,IMPORT,"8895689,35"
"Madrid, Comunidad de",,2000,IMPORT,"41270925,43"
"Murcia, Región de",,2000,IMPORT,"4079532,44"
"Navarra, Comunidad Foral de",,2000,IMPORT,"3829678,69"
País Vasco,,2000,IMPORT,"10315612,79"
"Rioja, La",,2000,IMPORT,"653047,04"
Ceuta,,2000,IMPORT,"232057,98"
Melilla,,2000,IMPORT,"190159,45"
No determinado,,2000,IMPORT,"427102,52"
Andalucía,,2001,EXPORT,"10204239,60"
Aragón,,2001,EXPORT,"5441044,75"
"Asturias, Principado de",,2001,EXPORT,"1577444,93"
"Balears, Illes",,2001,EXPORT,"1076572,52"
Canarias,,2001,EXPORT,"830455,52"
Cantabria,,2001,EXPORT,"1504469,05"
Castilla y León,,2001,EXPORT,"8252116,51"
Castilla-La Mancha,,2001,EXPORT,"1992666,16"
Cataluña,,2001,EXPORT,"36397286,35"
Comunitat Valenciana,,2001,EXPORT,"15909868,49"
Extremadura,,2001,EXPORT,"790691,27"
Galicia,,2001,EXPORT,"9266477,20"
"Madrid, Comunidad de",,2001,EXPORT,"14238489,76"
"Murcia, Región de",,2001,EXPORT,"3574479,91"
"Navarra, Comunidad Foral de",,2001,EXPORT,"4337953,04"
País Vasco,,2001,EXPORT,"11288354,73"
"Rioja, La",,2001,EXPORT,"846924,38"
Ceuta,,2001,EXPORT,"110206,49"
Melilla,,2001,EXPORT,"1727,59"
No determinado,,2001,EXPORT,"2129544,53"
Andalucía,,2001,IMPORT,"12034312,39"
Aragón,,2001,IMPORT,"5288181,66"
"Asturias, Principado de",,2001,IMPORT,"2054441,63"
"Balears, Illes",,2001,IMPORT,"1640213,11"
Canarias,,2001,IMPORT,"3680865,86"
Cantabria,,2001,IMPORT,"1637377,14"
Castilla y León,,2001,IMPORT,"8126338,90"
Castilla-La Mancha,,2001,IMPORT,"3724725,22"
Cataluña,,2001,IMPORT,"50318748,20"
Comunitat Valenciana,,2001,IMPORT,"13550466,73"
Extremadura,,2001,IMPORT,"387001,24"
Galicia,,2001,IMPORT,"9417989,07"
"Madrid, Comunidad de",,2001,IMPORT,"41481622,62"
"Murcia, Región de",,2001,IMPORT,"4390443,56"
"Navarra, Comunidad Foral de",,2001,IMPORT,"3930778,51"
País Vasco,,2001,IMPORT,"10010446,73"
"Rioja, La",,2001,IMPORT,"669470,96"
Ceuta,,2001,IMPORT,"244071,89"
Melilla,,2001,IMPORT,"170697,49"
No determinado,,2001,IMPORT,"451924,28"
Andalucía,,2002,EXPORT,"10349274,85"
Aragón,,2002,EXPORT,"5565473,87"
"Asturias, Principado de",,2002,EXPORT,"1807929,41"
"Balears, Illes",,2002,EXPORT,"1210919,25"
Canarias,,2002,EXPORT,"745302,12"
Cantabria,,2002,EXPORT,"1528013,17"
Castilla y León,,2002,EXPORT,"7918278,99"
Castilla-La Mancha,,2002,EXPORT,"2139238,33"
Cataluña,,2002,EXPORT,"36871945,00"
Comunitat Valenciana,,2002,EXPORT,"16930189,36"
Extremadura,,2002,EXPORT,"1190207,71"
Galicia,,2002,EXPORT,"9738107,51"
"Madrid, Comunidad de",,2002,EXPORT,"14386619,03"
"Murcia, Región de",,2002,EXPORT,"3843581,75"
