Project;Id;DeadlineDate;Status;tags;keywords
b'Fostering the integration of persons in need of protection through private sponsorship schemes';b'AMIF-2019-AG-CALL-01';b'2020/01/30';b'Open';"b""['legal migration', 'integration', 'sponsorship']""";b''
b'Social orientation of newly arrived third-country nationals through involvement of local communities, including mentoring and volunteering activities';b'AMIF-2019-AG-CALL-02';b'2020/01/30';b'Open';"b""['mentoring', 'integration', 'volunteering']""";b''
b'Social and economic integration of migrant women';b'AMIF-2019-AG-CALL-03';b'2020/01/30';b'Open';"b""['integration', 'women']""";b''
b'Awareness raising and information campaigns on the risks of irregular migration in selected third countries and within Europe';b'AMIF-2019-AG-CALL-04';b'2020/01/30';b'Open';"b""['campaigns', 'irregular migration', 'information']""";b''
b'Support to victims of trafficking in human beings';b'AMIF-2019-AG-CALL-05';b'2020/01/30';b'Open';"b""['trafficking', 'human beings']""";b''
b'Protection of children in migration';b'AMIF-2019-AG-CALL-06';b'2020/01/30';b'Open';"b""['asylum', 'protection', 'children']""";b''
b'Transnational projects by Member States for training of experts in the area of asylum and immigration';b'AMIF-2019-AG-CALL-07';b'2020/01/30';b'Open';"b""['easo', 'training', 'asylum']""";b''
b'The Future of Seas and Oceans Flagship Initiative';b'BG-07-2019-2020';b'2020/01/22';b'Open';"b""['Digitalisation', 'Ocean-Weather nexus', 'Cloud', 'marine and maritime professional skills and competences', 'Pollution', 'Ocean-Land nexus', 'monitoring technologies', 'Ocean-Climate nexus', 'observation technologies', 'FAIR data', 'climate-ocean interface', 'Coastal', 'reusability', 'Digital Ocean', 'data mining', 'Ocean and Health', 'marine and maritime new technologies and services', 'planetary boundaries', 'discovery']""";"b""['Ocean', 'Marine and Ocean Management', 'Climatology and climate change', 'Marine Strategy Framework Directive', 'Marine, Coastal And Ocean Pollution', 'Environmental monitoring systems', 'Data mining and searching techniques', 'Ocean Observation and Monitoring', 'Ocean Acidification', 'Biological systems analysis, modelling and simulat', 'Ocean and Climate Change', 'Environmental sciences', 'Environmental health', 'Marine Litter', 'Marine ecosystems and processes', 'International Ocean Governance', 'Ocean observing systems and operational forecastin', 'Marine Environmental Policies', 'Integrated Maritime Policy', 'Ocean literacy', 'Marine Environment', 'Marine and Maritime Data Processing And Analysis', 'Marine biodiversity monitoring', 'Technology implementation', 'Environmental engineering', 'Remote sensing', 'Data archiving', 'Technology development', 'Sustainable Blue Economy', 'Scientific computing, simulation and modelling too', 'Marine biodiversity conservation', 'Blue Growth', 'Marine Knowledge and Research']"""
b'Fisheries in the full ecosystem context';b'BG-10-2020';b'2020/01/22';b'Open';"b""['Ocean-Food nexus', 'observation technologies', 'marine and maritime new technologies and services', 'monitoring technologies', 'Digital Ocean', 'Food systems', 'science-policy dialogue', 'Digitalisation', 'fisheries', 'mesopelagic', 'Food 2030', 'Coastal', 'Bioeconomy', 'marine and maritime professional skills and competences', 'Ocean and Health', 'overfishing']""";"b""['Food and nutrition', 'Environmental monitoring systems', 'Marine ecosystem management', 'Climatology and climate change', 'Marine biodiversity conservation', 'Blue Bioeconomy', 'Innovative Blue Growth Technology Areas', 'Ocean', 'Human impacts and other stressors', 'Marine Environmental Policies', 'Marine Knowledge and Research', 'Marine Environment', 'Water resources', 'Ocean Observation and Monitoring', 'Integrated Maritime Policy', 'Marine and Ocean Management', 'Blue Careers', 'Environmental and marine biology', 'Scientific computing, simulation and modelling too', 'Ecosystem-Based Approach', 'Fisheries science', 'Marine biodiversity monitoring', 'Marine ecosystems and processes', 'Modelling and modelling tools (Fisheries science)', 'Common fisheries policy (CFP)', 'Marine and Maritime Data Processing And Analysis', 'Data mining and searching techniques', 'Natural resources exploration and exploitation', 'Socio-ecological systems', 'Sustainable Blue Economy', 'Environmental sciences', 'Ecosystem management', 'Marine Strategy Framework Directive', 'Environmental health', 'Ocean and Climate Change', 'International Ocean Governance', 'Blue Growth', 'Biological systems analysis, modelling and simulat']"""
b'Towards a productive, healthy, resilient, sustainable and highly-valued Black Sea';b'BG-11-2020';b'2020/01/22';b'Open';"b""['circular blue bioeconomy', 'marine new technologies and services', 'Europe', 'Ocean and Health', 'data sharing', 'integration', 'SRIA', 'Digitalisation', 'marine and maritime professional skills and competences', 'Bucharest Convention', 'maritime spatial planning', 'Ocean-Climate nexus', 'education and capacity building', 'Pollution', 'science-policy dialogue', 'land-sea interface', 'regional seas', 'marine cultural heritage', 'Strategic Research and Innovation Agenda', 'monitoring technologies', 'river-sea interactions', 'Digital Ocean', 'Coastal', 'networking', 'Bioeconomy', 'SME', 'ocean engaged citizens', 'observation technologies', 'Strategic Action Plan of the Bucharest Convention', 'marine spatial planning', 'Ocean-Land nexus', 'governance', 'youth mobility', 'multi-stressors approach', 'Neighbourhood Policy']""";"b""['Marine and Ocean Management', 'Marine biodiversity conservation', 'Cultural heritage, cultural memory', 'Ocean', 'Black Sea', 'Marine Environment', 'Marine biodiversity', 'Blue Growth', 'Marine Knowledge and Research', 'Ocean and Climate Change', 'Marine ecosystem management', 'Marine, Coastal And Ocean Pollution', 'Ecosystem-Based Approach', 'Open data', 'Innovation management', 'Sustainable Blue Economy', 'Environmental sciences', 'Deep-sea ecosystems', 'Sea-Basin Strategies', 'Marine biodiversity monitoring', 'Environmental monitoring systems', 'Integrated Coastal Zone Management / Integrated C', 'Competitiveness, innovation, research and developm', 'Ocean literacy', 'Blue Careers', 'Ocean Observation and Monitoring', 'Environmental health', 'EU research policy /Research policies in the EU', 'Species interactions (e.g. food-webs, symbiosis, p', 'Human impacts and other stressors', 'Marine Strategy Framework Directive', 'Research management', 'Blue Bioeconomy', 'Technology development', 'International cooperation', 'Marine ecosystems and processes', 'Ecosystem management', 'Marine Environmental Policies', 'Integrated Maritime Policy']"""
b'Reprogrammed microorganisms for biological sensors (IA)';b'BIOTEC-06-2020';b'2019/12/12';b'Open';"b""['BIOTEC-06-2020', 'H2020-NMBP-TR-IND-2020']""";"b""['Systems biology', 'Industrial biotechnology']"""
b'Multi-omics for genotype-phenotype associations (RIA)';b'BIOTEC-07-2020';b'2019/12/12';b'Open';"b""['metabolomics', 'epigenetics', 'proteomics', 'genomics', 'H2020-NMBP-TR-IND-2020', 'BIOTEC-07-2020']""";"b""['Functional biology', 'Artificial intelligence, intelligent systems, mult', 'Bioinformatics, biocomputing, and DNA and molecula', 'Molecular genetics']"""
"b""EIC Horizon Prize for 'Innovative Batteries for eVehicles'""";b'Batteries-EICPrize-2018';b'2020/12/17';b'Open';"b""['electric-vehicles battery', 'energy storage', 'lithium ion', 'open innovation', 'solid stage technologies', 'market-creating innovation', 'e-vehicle battery', 'low cost materials']""";"b""['Semiconductors and insulators: material growth, ph', 'Electronic properties of materials, surfaces, inte', 'Condensed matter physics (including formerly solid', 'Sustainable transport', 'Electrical and electronic engineering: semiconduct', 'Chemical sciences', 'Superconductivity', 'Transport sector', 'Clean vehicles', 'Nano-materials (production and properties)', 'Materials engineering', 'Thermal properties of condensed matter', 'Organic chemistry', 'Electrical engineering, Electronic engineering, In', 'Energy Efficiency', 'Physical chemistry, Polymer science, Electrochemis', 'Electrochemistry, batteries and fuel cells']"""
b'New biotechnologies to remediate harmful contaminants (RIA)';b'CE-BIOTEC-08-2020';b'2020/04/15';b'Open';"b""['International cooperation', 'H2020-NMBP-TR-IND-2020', 'CE-BIOTEC-08-2020', 'environmental contamination']""";"b""['Environmental biotechnology, bioremediation, biode']"""
b'Upcycling Bio Plastics of food and drinks packaging (RIA) ';b'CE-BIOTEC-09-2020';b'2019/12/12';b'Open';"b""['CE-BIOTEC-09-2020', 'H2020-NMBP-TR-IND-2020', 'recycling', 'Plastics']""";"b""['Bioproducts (products that are manufactured using', 'Environmental biotechnology, bioremediation, biode']"""
b'FOOD 2030 - Empowering cities as agents of food system transformation ';b'CE-FNR-07-2020';b'2020/01/22';b'Open';"b""['nutrition', 'waste', 'multi-stakeholders', 'Food', 'sustainability', 'innovation', 'local authority', 'Bioeconomy', 'Food Systems', 'urban', 'aquaculture and fisheries', 'water resources', 'cities', 'Waste', 'climate change', 'living labs', 'Coastal', 'ocean-land nexus', 'food policy', 'circularity', 'Food 2030', 'ocean-food nexus', 'citizens', 'coastal', 'communities']""";"b""['Sociology', 'Food and drink processing', 'Socio-ecological systems', 'Technology management', 'Business management', 'Ocean', 'Food safety', 'Environment, fisheries and aquaculture interaction', 'Climatic research', 'Financial & Investment management', 'Integrated coastal zone management', 'Climate change adaptation', 'Water resources', 'Food and nutrition', 'Secure food chain and wealth products', 'Food processing', 'Food and beverages', 'Marketing management', 'Economics and Business', 'Environmental sciences', 'Food waste', 'Ecosystem management', 'Blue Bioeconomy', 'Waste management', 'Nutrition, Dietetics', 'IPR management', 'Market-creating innovation', 'Biodiversity conservation', 'Cultural studies, cultural diversity', 'Food biotechnology', 'Environmental engineering', 'Biodiversity, conservation biology, conservation g', 'Political science', 'Ecology', 'Social and economic geography', 'Media and communications', 'Innovation management', 'Aquaculture, fisheries', 'Urban agriculture', 'Nutrition (Aquaculture)']"""
