CEUTA Y MELILLA;Particulares Mujeres;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
CEUTA Y MELILLA;Universidades;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
COMUNIDAD VALENCIANA;CSIC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
COMUNIDAD VALENCIANA;Empresas;76.0;55.0;64.0;61.0;70.0;59.0;52.0;48.0;63.0;77.0
COMUNIDAD VALENCIANA;Organismos Públicos;5.0;5.0;5.0;9.0;2.0;1.0;2.0;3.0;nan;1.0
COMUNIDAD VALENCIANA;Particulares Hombres;41.0;47.0;50.0;44.0;34.0;42.0;34.0;40.0;50.0;33.0
COMUNIDAD VALENCIANA;Particulares Mujeres;4.0;5.0;7.0;1.0;2.0;10.0;10.0;2.0;7.0;1.0
COMUNIDAD VALENCIANA;Universidades;34.0;28.0;29.0;36.0;34.0;32.0;38.0;41.0;37.0;30.0
EXTREMADURA;CSIC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
EXTREMADURA;Empresas;nan;5.0;nan;2.0;2.0;1.0;1.0;3.0;4.0;1.0
EXTREMADURA;Organismos Públicos;nan;nan;1.0;nan;1.0;nan;1.0;nan;nan;nan
EXTREMADURA;Particulares Hombres;3.0;2.0;nan;3.0;3.0;4.0;5.0;5.0;3.0;1.0
EXTREMADURA;Particulares Mujeres;1.0;nan;nan;nan;nan;1.0;nan;nan;nan;nan
EXTREMADURA;Universidades;nan;2.0;1.0;4.0;1.0;1.0;1.0;1.0;nan;nan
GALICIA;CSIC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
GALICIA;Empresas;9.0;17.0;22.0;22.0;16.0;18.0;13.0;18.0;18.0;15.0
GALICIA;Organismos Públicos;nan;4.0;1.0;1.0;nan;nan;1.0;nan;nan;nan
GALICIA;Particulares Hombres;13.0;18.0;18.0;14.0;16.0;15.0;8.0;11.0;12.0;12.0
GALICIA;Particulares Mujeres;1.0;1.0;1.0;1.0;1.0;nan;nan;1.0;2.0;2.0
GALICIA;Universidades;14.0;12.0;27.0;23.0;15.0;24.0;10.0;15.0;9.0;10.0
ILLES BALEARS;CSIC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
ILLES BALEARS;Empresas;1.0;3.0;4.0;nan;4.0;2.0;2.0;1.0;2.0;4.0
ILLES BALEARS;Organismos Públicos;nan;nan;1.0;1.0;1.0;nan;nan;nan;nan;nan
ILLES BALEARS;Particulares Hombres;10.0;4.0;6.0;1.0;3.0;5.0;7.0;3.0;5.0;6.0
ILLES BALEARS;Particulares Mujeres;nan;1.0;nan;1.0;nan;nan;nan;nan;1.0;nan
ILLES BALEARS;Universidades;3.0;2.0;nan;5.0;4.0;nan;5.0;3.0;2.0;nan
LA RIOJA;CSIC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
LA RIOJA;Empresas;8.0;2.0;1.0;1.0;4.0;4.0;1.0;4.0;4.0;2.0
LA RIOJA;Organismos Públicos;nan;nan;1.0;1.0;nan;nan;nan;1.0;nan;nan
LA RIOJA;Particulares Hombres;nan;3.0;2.0;2.0;3.0;nan;1.0;2.0;2.0;5.0
LA RIOJA;Particulares Mujeres;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
LA RIOJA;Universidades;nan;1.0;nan;nan;nan;2.0;1.0;nan;nan;nan
MADRID;CSIC;111.0;112.0;101.0;95.0;66.0;59.0;56.0;50.0;42.0;26.0
MADRID;Empresas;151.0;166.0;102.0;74.0;115.0;85.0;94.0;81.0;85.0;83.0
MADRID;Organismos Públicos;28.0;12.0;14.0;10.0;14.0;13.0;9.0;16.0;2.0;15.0
MADRID;Particulares Hombres;57.0;68.0;52.0;46.0;52.0;51.0;60.0;43.0;36.0;40.0
MADRID;Particulares Mujeres;7.0;5.0;5.0;5.0;4.0;7.0;1.0;4.0;5.0;7.0
MADRID;Universidades;32.0;45.0;45.0;53.0;33.0;35.0;35.0;22.0;31.0;23.0
MURCIA;CSIC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
MURCIA;Empresas;8.0;11.0;18.0;11.0;12.0;12.0;13.0;8.0;6.0;14.0
MURCIA;Organismos Públicos;nan;nan;nan;1.0;1.0;nan;nan;1.0;nan;nan
MURCIA;Particulares Hombres;7.0;7.0;7.0;15.0;5.0;11.0;16.0;11.0;7.0;9.0
MURCIA;Particulares Mujeres;nan;nan;nan;nan;1.0;nan;nan;1.0;2.0;nan
MURCIA;Universidades;4.0;5.0;1.0;3.0;2.0;2.0;3.0;6.0;7.0;nan
NAVARRA;CSIC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
NAVARRA;Empresas;36.0;56.0;47.0;30.0;22.0;32.0;18.0;29.0;23.0;19.0
NAVARRA;Organismos Públicos;12.0;nan;nan;nan;1.0;nan;nan;1.0;nan;nan
NAVARRA;Particulares Hombres;4.0;16.0;6.0;11.0;5.0;9.0;5.0;8.0;7.0;4.0
NAVARRA;Particulares Mujeres;nan;nan;2.0;1.0;4.0;2.0;1.0;3.0;3.0;1.0
NAVARRA;Universidades;2.0;1.0;2.0;3.0;nan;nan;5.0;nan;1.0;1.0
NO CONSTA;CSIC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
NO CONSTA;Empresas;3.0;nan;nan;nan;1.0;nan;nan;nan;nan;nan
NO CONSTA;Organismos Públicos;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
NO CONSTA;Particulares Hombres;nan;nan;nan;nan;1.0;nan;nan;32.0;nan;nan
NO CONSTA;Particulares Mujeres;nan;nan;nan;nan;nan;nan;nan;3.0;nan;nan
NO CONSTA;Universidades;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
NO RESIDENTE;CSIC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
NO RESIDENTE;Empresas;1.0;5.0;12.0;4.0;6.0;8.0;14.0;10.0;5.0;8.0
NO RESIDENTE;Organismos Públicos;nan;nan;nan;1.0;1.0;nan;nan;1.0;1.0;nan
NO RESIDENTE;Particulares Hombres;3.0;5.0;1.0;8.0;2.0;4.0;4.0;5.0;5.0;6.0
NO RESIDENTE;Particulares Mujeres;nan;nan;nan;nan;nan;nan;1.0;1.0;nan;nan
NO RESIDENTE;Universidades;3.0;nan;nan;1.0;nan;nan;nan;2.0;nan;nan
PAIS VASCO;CSIC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
PAIS VASCO;Empresas;56.0;57.0;74.0;57.0;59.0;57.0;45.0;54.0;43.0;55.0
PAIS VASCO;Organismos Públicos;19.0;22.0;nan;1.0;12.0;3.0;10.0;6.0;2.0;nan
PAIS VASCO;Particulares Hombres;14.0;18.0;13.0;14.0;16.0;17.0;18.0;17.0;11.0;4.0
PAIS VASCO;Particulares Mujeres;2.0;2.0;1.0;1.0;1.0;1.0;1.0;nan;nan;1.0
PAIS VASCO;Universidades;3.0;9.0;10.0;8.0;9.0;4.0;1.0;1.0;4.0;4.0
nan;TOTAL;1.252;1.415;1.3030000000000002;1.255;1.222;1.226;1.155;1.094;1.013;931.0
