Region;Year;LastUpdateDate;id;PersEmplIDTotal;PersEmplIDTotalMuj;PersEmplIDTotalEmp;PersEmplIDTotalEmpMuj;PersEmplIDTotalAdPub;PersEmplIDTotalAdPubMuj;PersEmpIDTotalEnsSup;PersEmpIDTotalEnsSupMuj;InvIDTotal;InvIDTotalMuj;InvIDTotalEmp;InvIDTotalEmpMuj;InvIDTotalAdPub;InvIDTotalAdPubMuj;InvIDTotalEnsSup;InvIDTotalEnsSupMuj
Cantabria;2012;2019-08-07;Cantabria2012;2018.8;791.2;689.6;184.5;424.6;213.2;-2;-2;1196.6;456.5;264.1;60.6;269.3;120.3;-2;-2
Castilla y León;2012;2019-08-07;Castilla y León2012;9546.9;3824.4;4240.4;1210.2;960.2;517.1;4334.9;2093.0;5975.4;2468.4;1945.5;599.7;456.0;210.5;3570.1;3570.1
Castilla - La Mancha;2012;2019-08-07;Castilla - La Mancha2012;3170.0;1141.0;1556.0;451.3;-2;-2;1030.0;426.0;1740.1;639.4;636.8;202.4;-2;-2;700.0;700.0
Cataluña;2012;2019-08-07;Cataluña2012;44461.5;18601.5;20516.8;6810.4;9606.3;5009.9;14241.4;6721.7;25520.4;10027.9;9587.2;3038.9;5692.9;2630.0;10179.0;10179.0
Comunitat Valenciana;2012;2019-08-07;Valencia2012;18889.4;7892.0;6689.6;2068.8;2534.8;1457.4;9650.8;4358.0;11652.9;4548.9;3203.1;957.4;1509.2;800.9;6932.0;6932.0
Extremadura;2012;2019-08-07;Extremadura2012;2126.4;843.2;465.7;146.9;578.4;263.3;-2;-2;1264.8;497.5;163.9;57.1;221.3;107.7;-2;-2
Galicia;2012;2019-08-07;Galicia2012;9509.4;3968.1;3610.1;1024.9;-2;-2;4411.9;2075.1;5443.4;2207.5;1637.7;487.0;-2;-2;3100.0;3100.0
Madrid, Comunidad de;2012;2019-08-07;Madrid2012;48772.6;19552.3;21537.3;6938.4;14067.2;7303.0;13032.6;5226.8;29402.0;10959.9;11766.3;3620.3;6519.6;3206.1;11041.0;11041.0
Murcia, Región de;2012;2019-08-07;Murcia2012;5459.1;2233.9;1480.9;472.0;596.6;311.5;3370.9;1446.8;3850.5;1535.0;637.5;177.9;353.0;180.9;2849.3;2849.3
Navarra, Comunidad Foral de;2012;2019-08-07;Navarra2012;4821.9;1803.3;2572.2;687.5;372.5;171.1;-2;-2;3172.6;1211.0;1310.3;345.4;268.4;110.0;-2;-2
País Vasco;2012;2019-08-07;País Vasco2012;18591.0;6452.9;13316.0;3778.7;1270.8;699.7;3974.5;1954.6;11801.4;4135.4;7782.8;2282.8;645.7;262.7;3353.4;3353.4
Rioja, La;2012;2019-08-07;Rioja2012;1469.3;582.5;667.0;199.9;291.1;154.4;507.4;226.4;900.4;374.3;265.0;77.7;167.5;94.3;464.1;464.1
Ceuta;2012;2019-08-07;Ceuta2012;19.2;14.0;4.8;2.0;-2;-2;-2;-2;12.0;4.2;2.4;-2;-2;-2;-2;-2
Melilla;2012;2019-08-07;Melilla2012;35.0;26.2;9.6;1.2;-2;-2;-2;-2;22.4;8.4;3.9;-2;-2;-2;-2;-2
Total;2013;2019-08-07;Nacional2013;203302.0;81661.2;88635.1;27767.3;39349.1;20222.9;74922.6;33448.2;123224.7;47759.8;44713.8;13922.4;20672.7;9772.4;57640.8;57640.8
Andalucía;2013;2019-08-07;Andalucía2013;24139.1;9708.1;7650.3;2235.2;5222.9;2461.6;11210.4;4983.7;13868.1;5310.8;3719.5;1088.5;2498.8;1055.6;7635.3;7635.3
Aragón;2013;2019-08-07;Aragón2013;5534.0;2140.8;2239.2;593.2;1180.2;569.4;2110.8;976.7;3699.0;1490.8;1106.2;332.7;627.8;274.0;1962.2;1962.2
Asturias, Principado de;2013;2019-08-07;Asturias2013;3372.0;1315.1;1472.8;440.6;583.2;297.0;1312.6;576.4;2235.0;868.1;839.2;251.1;261.1;139.7;1132.7;1132.7
Balears, Illes;2013;2019-08-07;Balears2013;1848.2;827.4;220.1;46.9;464.2;234.5;1159.9;544.5;1390.9;631.5;86.6;21.3;311.2;145.1;990.5;990.5
Canarias;2013;2019-08-07;Canarias2013;3480.8;1294.2;578.7;153.0;1161.1;429.7;1735.8;709.2;2543.2;954.3;297.7;94.2;676.1;248.3;1568.3;1568.3
Cantabria;2013;2019-08-07;Cantabria2013;1780.2;688.7;602.2;152.4;349.0;173.1;-2;-2;1070.7;412.1;249.1;66.9;222.6;97.8;-2;-2
Castilla y León;2013;2019-08-07;Castilla y León2013;8862.3;3608.2;3521.6;1008.1;908.8;492.6;4423.5;2104.8;5809.2;2378.2;1693.2;496.6;442.0;206.5;3671.6;3671.6
Castilla - La Mancha;2013;2019-08-07;Castilla - La Mancha2013;2776.9;994.3;1378.1;407.5;492.5;205.6;905.0;380.1;1430.3;516.9;588.9;192.0;312.3;121.1;527.8;527.8
Cataluña;2013;2019-08-07;Cataluña2013;44506.2;18805.5;20897.8;7165.4;9468.1;4964.8;14049.3;6615.4;25503.4;10095.8;9643.1;3116.2;5631.8;2622.6;10171.8;10171.8
Comunitat Valenciana;2013;2019-08-07;Valencia2013;18527.7;7600.4;6593.5;1991.9;2413.5;1358.6;9501.4;4239.0;11174.2;4342.5;3066.5;951.4;1428.9;747.5;6671.9;6671.9
Extremadura;2013;2019-08-07;Extremadura2013;2119.7;832.4;542.5;172.9;474.0;210.5;1101.0;447.5;1293.6;524.0;201.7;83.3;196.2;91.5;894.5;894.5
Galicia;2013;2019-08-07;Galicia2013;9385.5;3886.0;3607.7;1023.2;1398.3;819.3;-2;-2;5396.8;2210.8;1625.0;503.1;701.4;383.4;-2;-2
Madrid, Comunidad de;2013;2019-08-07;Madrid2013;47609.4;19208.2;21968.5;7387.1;12714.4;6673.6;12801.5;5068.5;28631.2;10944.0;11816.0;3840.0;5908.8;2974.4;10836.3;10836.3
Murcia, Región de;2013;2019-08-07;Murcia2013;5290.2;2151.0;1374.6;444.9;583.9;264.3;3329.5;1441.2;3710.6;1459.1;582.0;175.3;347.5;144.0;2778.9;2778.9
Navarra, Comunidad Foral de;2013;2019-08-07;Navarra2013;4625.2;1714.0;2526.2;690.4;392.7;190.9;-2;-2;2993.5;1109.9;1289.5;348.9;283.9;122.0;-2;-2
País Vasco;2013;2019-08-07;País Vasco2013;18072.1;6338.0;12874.7;3692.2;1276.7;736.0;3899.2;1893.5;11635.0;4141.6;7696.8;2294.1;671.4;312.8;3252.2;3252.2
Rioja, La;2013;2019-08-07;Rioja2013;1327.0;528.7;579.9;161.2;264.8;141.4;-2;-2;798.7;350.1;209.5;66.2;150.9;86.4;-2;-2
Ceuta;2013;2019-08-07;Ceuta2013;14.8;6.2;-2;-2;-2;-2;-2;-2;14.2;6.2;-2;-2;-2;-2;-2;-2
Melilla;2013;2019-08-07;Melilla2013;30.9;13.8;-2;-2;-2;-2;-2;-2;27.1;13.3;-2;-2;-2;-2;-2;-2
Total;2014;2019-08-07;Nacional2014;200232.6;79931.8;87642.0;26992.8;38764.2;19758.2;73427.7;32956.9;122235.4;47136.3;44688.6;13808.2;20180.2;9260.5;57156.4;57156.4
Andalucía;2014;2019-08-07;Andalucía2014;23632.5;9487.7;7676.6;2212.6;5180.0;2461.3;10724.2;4793.7;13317.9;5147.4;3670.7;1075.7;2433.4;1055.5;7201.1;7201.1
Aragón;2014;2019-08-07;Aragón2014;5401.7;2115.4;2243.2;615.0;1215.9;581.8;1941.3;918.1;3671.0;1478.7;1217.2;370.5;661.4;283.2;1791.2;1791.2
Asturias, Principado de;2014;2019-08-07;Asturias2014;3114.9;1210.5;1390.6;413.4;543.3;289.5;1177.4;506.4;2032.2;778.1;798.7;247.1;230.9;122.6;1000.5;1000.5
Balears, Illes;2014;2019-08-07;Balears2014;1846.0;819.1;235.3;51.2;403.3;214.1;1203.6;552.5;1461.9;653.3;102.7;28.0;271.2;130.9;1085.5;1085.5
Canarias;2014;2019-08-07;Canarias2014;3307.7;1246.9;536.4;144.4;1044.7;394.3;1721.0;705.8;2447.0;919.5;291.2;83.4;599.4;219.0;1554.8;1554.8
Cantabria;2014;2019-08-07;Cantabria2014;1780.7;733.7;596.0;163.1;400.8;228.1;-2;-2;1035.5;419.2;226.4;62.0;248.7;132.9;-2;-2
Castilla y León;2014;2019-08-07;Castilla y León2014;8854.7;3602.2;3583.5;1020.7;941.4;507.3;4318.7;2070.0;5721.0;2361.9;1679.4;515.7;435.1;198.3;3602.9;3602.9
Castilla - La Mancha;2014;2019-08-07;Castilla - La Mancha2014;2808.1;988.9;1396.9;398.3;482.0;200.3;928.8;390.1;1530.7;550.6;620.7;204.8;310.6;113.5;599.0;599.0
Cataluña;2014;2019-08-07;Cataluña2014;43898.4;18448.6;20487.0;6874.1;9435.9;4862.9;13858.5;6639.6;25474.0;10105.1;9648.7;3147.3;5620.1;2514.0;10118.0;10118.0
Comunitat Valenciana;2014;2019-08-07;Valencia2014;18638.7;7304.7;6916.0;2016.6;2320.1;1299.0;9381.0;3973.5;11357.7;4299.4;3234.2;986.3;1307.2;647.9;6806.6;6806.6
Extremadura;2014;2019-08-07;Extremadura2014;1906.6;711.7;463.2;140.2;383.6;149.3;1057.9;420.8;1236.0;474.2;194.7;65.9;143.7;62.7;896.7;896.7
Galicia;2014;2019-08-07;Galicia2014;9405.1;3831.2;3777.5;1055.4;1396.2;811.6;4227.3;1961.0;5472.5;2182.6;1774.5;522.9;694.6;369.3;3001.3;3001.3
Madrid, Comunidad de;2014;2019-08-07;Madrid2014;46463.1;18632.9;21124.0;6936.6;12603.2;6449.7;12630.6;5176.8;28371.3;10659.1;11534.1;3652.3;5879.8;2799.0;10899.9;10899.9
Murcia, Región de;2014;2019-08-07;Murcia2014;5412.4;2190.1;1553.8;492.0;540.4;259.8;3315.7;1437.1;3622.3;1415.8;609.8;186.0;300.4;126.0;2710.6;2710.6
Navarra, Comunidad Foral de;2014;2019-08-07;Navarra2014;4433.1;1678.3;2378.0;631.3;394.9;190.0;-2;-2;2973.2;1130.2;1265.7;330.1;279.0;112.7;-2;-2
País Vasco;2014;2019-08-07;País Vasco2014;17842.7;6327.9;12625.4;3627.0;1224.3;722.3;3975.8;1965.9;11622.8;4167.4;7585.8;2247.1;626.5;291.9;3399.0;3399.0
Rioja, La;2014;2019-08-07;Rioja2014;1438.8;585.2;649.3;199.4;252.4;136.9;535.4;248.7;851.5;379.8;228.2;81.4;137.2;81.1;484.4;484.4
Ceuta;2014;2019-08-07;Ceuta2014;22.9;9.0;-2;-2;-2;-2;-2;-2;15.7;6.0;-2;-2;-2;-2;-2;-2
Melilla;2014;2019-08-07;Melilla2014;24.5;7.9;-2;-2;-2;-2;-2;-2;21.1;7.9;-2;-2;-2;-2;-2;-2
Total;2015;2019-08-07;Nacional2015;200865.8;81297.2;87431.5;27436.7;39677.8;20269.7;73326.9;33366.5;122437.0;47728.6;45151.0;13984.0;19961.8;9349.6;57106.5;57106.5
Andalucía;2015;2019-08-07;Andalucía2015;23519.1;9810.7;6979.8;2175.2;5562.6;2706.2;10919.2;4917.7;13507.0;5319.4;3389.9;1024.3;2643.1;1162.0;7461.5;7461.5
Aragón;2015;2019-08-07;Aragón2015;5384.7;2126.0;2173.5;591.7;1192.5;582.9;2014.6;948.7;3556.3;1417.5;1135.9;327.7;550.3;228.0;1866.6;1866.6
Asturias, Principado de;2015;2019-08-07;Asturias2015;2999.4;1189.8;1183.6;359.0;561.4;291.4;1249.4;538.8;2029.0;798.4;708.6;225.6;246.3;133.8;1071.2;1071.2
Balears, Illes;2015;2019-08-07;Balears2015;1801.3;767.1;321.0;65.2;415.5;213.4;1061.3;487.0;1346.6;590.2;125.4;28.2;284.8;138.2;934.7;934.7
Canarias;2015;2019-08-07;Canarias2015;3101.0;1188.1;503.0;145.2;1048.5;407.0;1545.1;634.0;2147.4;805.6;253.2;80.7;553.8;201.4;1339.0;1339.0
Cantabria;2015;2019-08-07;Cantabria2015;1782.5;779.2;545.5;161.6;420.8;243.8;775.6;359.9;1098.5;471.4;235.6;71.8;267.4;143.3;588.9;588.9
